fold,auc,mcc,threshold,accuracy,f1_pos,recall_pos,precision_pos
1,0.7192307692307692,-0.14252192813739226,0.5104305,0.5757575757575758,0.7307692307692307,0.95,0.59375
2,0.8045112781954887,0.563621480190678,0.48793676,0.7878787878787878,0.8292682926829268,0.8947368421052632,0.7727272727272727
3,0.7894736842105263,0.6147253896340708,0.4436207,0.8125,0.8571428571428571,0.9473684210526315,0.782608695652174
4,0.7813765182186234,0.6255774501577784,0.4798641,0.8125,0.8333333333333334,0.7894736842105263,0.8823529411764706
5,0.7449392712550608,0.17054221752815663,0.37866992,0.625,0.75,0.9473684210526315,0.6206896551724138
