run,fold,accuracy,precision,recall,specificity,f1,auc,mcc
8,6,0.875,1.0,0.8,1.0,0.8888888888888888,0.9333333333333333,0.7745966692414834
8,7,0.8125,0.8,0.8888888888888888,0.7142857142857143,0.8421052631578947,0.8888888888888888,0.6180700462007377
8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,9,0.875,0.8181818181818182,1.0,0.7142857142857143,0.9,1.0,0.7644707871564383
8,10,0.9375,1.0,0.8888888888888888,1.0,0.9411764705882353,0.9365079365079365,0.8819171036881969
9,1,0.9411764705882353,1.0,0.9,1.0,0.9473684210526315,0.9714285714285714,0.8874119674649423
9,2,0.8235294117647058,0.8888888888888888,0.8,0.8571428571428571,0.8421052631578947,0.9142857142857143,0.6479515952918626
9,3,0.6875,0.6923076923076923,0.9,0.3333333333333333,0.782608695652174,0.8833333333333333,0.28941438070815306
9,4,0.9375,1.0,0.9,1.0,0.9473684210526315,0.9,0.8783100656536799
9,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,6,0.75,0.8,0.8,0.6666666666666666,0.8,0.8833333333333333,0.4666666666666667
9,7,0.9375,0.9,1.0,0.8571428571428571,0.9473684210526315,1.0,0.8783100656536799
9,8,0.8125,1.0,0.6666666666666666,1.0,0.8,0.9841269841269842,0.6831300510639732
9,9,0.875,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.9841269841269842,0.746031746031746
9,10,0.9375,1.0,0.8888888888888888,1.0,0.9411764705882353,0.9682539682539683,0.8819171036881969
10,1,0.8823529411764706,1.0,0.8,1.0,0.8888888888888888,0.9142857142857143,0.7888106377466154
10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,3,0.875,1.0,0.8,1.0,0.8888888888888888,0.8666666666666667,0.7745966692414834
10,4,0.875,1.0,0.8,1.0,0.8888888888888888,1.0,0.7745966692414834
10,5,0.75,0.875,0.7,0.8333333333333334,0.7777777777777778,0.7999999999999999,0.5163977794943222
10,6,0.9375,1.0,0.9,1.0,0.9473684210526315,1.0,0.8783100656536799
10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,9,0.8125,0.75,1.0,0.5714285714285714,0.8571428571428571,0.9682539682539683,0.6546536707079771
10,10,0.75,0.7777777777777778,0.7777777777777778,0.7142857142857143,0.7777777777777778,0.7777777777777778,0.49206349206349204
